ordinal	section	arxiv_id	title
1	new	2608.28690	An Exhaustive Census of Main-Diagonal Symmetric Costas Arrays of Orders 37-42
2	new	2608.28834	Riordan array representation of recursive polynomial sequences, orthogonal polynomial sequences, and $d$-orthogonal polynomial sequences
3	new	2608.28938	Braess' Paradox in Uniform Affine Grid Networks
4	new	2608.29101	A Chvátal--Erdős type condition for supereulerian digraphs with $α_{2}=4$
5	new	2608.29125	Cluster Geometry of Universal Schubert Polynomials I: Geometric Bases and Schubert Transitions
6	new	2608.29163	On $(1,2^4)$ and $(1,2^5)$-packing edge-coloring of sparse subcubic graphs
7	new	2608.29201	Resolvable quantum Latin squares with maximal cardinality
8	new	2608.29203	Cyclically Compatible Deformations of the Braid Arrangement
9	new	2608.29224	Eulerian triangle is totally positive of order 3
10	new	2608.29231	Polyomino Density
11	new	2608.29260	Generalized Spectral Closedness and the Nonexistence of Walk-Realizable Supporters for Split Graphs
12	new	2608.29354	Harmonic Catalan Number Series via Half-Integer Binomial Coefficients
13	new	2608.29375	Proper Conflict-Free Choosability for Graphs with Bounded Average Degree
14	new	2608.29512	A complete solution to the Tokushige measure conjecture and its stability
15	new	2608.29523	Energy Maximisation for Integral Circulant Graphs with Opposite-Parity Exponents
16	new	2608.29525	Anti-Ramsey Number for Suspension of Edge-Critical Graphs
17	new	2608.29595	GPT, the Counterexample Machine
18	new	2608.29655	Triangulated polygons and Y-frieze patterns
19	new	2608.29732	Orthogonal adjointness in posets with $0$
20	new	2608.29750	The S-matrix conjecture
21	new	2608.29757	Divisor lattices and Schur positivity in cyclic induction
22	new	2608.29981	Recovering Laplacian Lattices from $L$-Functions of Graphs
23	new	2608.29982	Equivariant Analytic Spectral Invariants of Açıkmeşe Lifts of Graphs with Self-Loops
24	new	2608.30002	Avoiding patterns with three distinct letters in Canon permutations
25	new	2608.30053	A Categorical Framework for the Negami Polynomial and Its Splitting Formula
26	new	2608.30082	Mutually orthogonal anti-Latin squares
27	new	2608.30097	Prime and Touchard Congruences of Mixed-Type Bell Numbers
28	new	2608.30180	A requested analytic proof of an identity of Dixit, Kumar, and Srivastava
29	new	2608.30196	Regular, and (bi-)rotary Hall Cayley maps
30	new	2608.30266	Inversion-descent enumerators of $\underline{32}1$-avoiding permutations
31	new	2608.30330	Vertex-transitive strongly regular graphs in the switching class of doubly transitive two-graphs
32	new	2608.30336	An Improvement to the Upper Bound for Marton's Covering Conjecture
33	new	2608.30347	Perfect state transfer on Cayley graphs over dihedral groups: A complete and practical characterization
34	new	2608.30353	An Improved Bound for Smith's Longest Cycles Conjecture via a Forbidden Subdivision
35	new	2608.30354	Maximal anti-Ramsey problems for posets
36	new	2608.30407	Edge codes constructed from unicyclic graphs
37	new	2608.30474	Fast robbers on abelian Cayley graphs and digraphs
38	new	2608.30481	The Multicolour Size--Ramsey Number of an Even Cycle
39	new	2608.30544	On high-girth layered graphs of positive Turán density in a hypercube
40	new	2608.30555	Second Order Zarankiewicz Number
41	new	2608.30601	The Homotopy Types of the Independence and Perfect Matching Complex of Möbius Ladder Graph
42	new	2608.30604	A Full-Sequence Quantitative Gap Between the Chromatic and Cochromatic Numbers of a Random Graph
43	new	2608.30764	Cycle-Structure Generating Functions for Special Breakpoint Graphs
44	new	2608.30791	Shifted Macdonald Polynomials and the $(q,t)$-Deformed Goulden--Jackson Product
45	new	2608.30799	On the structure of graphs with given odd girth and large algebraic connectivity
46	new	2608.30869	Exponential random graph models with soft clique constraints
47	new	2608.30979	A $(q,t)$-Overview of $q$-Analogs
48	new	2608.31056	The toughness of random graphs
49	new	2608.31088	Extensions of Hindman's theorem via finite colorings of topological groups
50	cross	2608.28627	Machine Learning-Enhanced Tabu Search for Tactical Wireless Network Design
51	cross	2608.28654	Orientations without transitive arcs for cubic graphs and phylogenetic networks
52	cross	2608.28711	Repairing the refined-decoupling proof of the 5/4 planar pinned Falconer theorem
53	cross	2608.28735	Singular Points on Positroid Varieties and Planar N=4 Supersymmetric Yang-Mills Theory
54	cross	2608.28783	Nonnegative conorms, regular matroids, and the tropical Schottky problem
55	cross	2608.28971	Calculus of the Facial Distance
56	cross	2608.29219	On Some More Problems from the Kourovka Notebook
57	cross	2608.29441	It's Hard to PArcK
58	cross	2608.29603	FirstFit online coloring in the random order model
59	cross	2608.29631	Efficient Polynomial-Time Decoding of Simplicial Anticodes with Near-Optimal Performance
60	cross	2608.29703	A Sharp Small-Coefficient Variant of Khintchine's Inequality and the Sharp $π/2$ Theorem
61	cross	2608.29741	Wallis-type products with polynomial exponents and the Dirichlet beta function at negative integers
62	cross	2608.29902	Fair Division of Graphs: Beyond Traceability
63	cross	2608.30078	Sets whose differences avoid a bracket quadratic
64	cross	2608.30217	Compactification of $\operatorname{SL}(3,\mathbb{C})$-Character Varieties of Surfaces via Skein Algebras
65	cross	2608.30273	Strengthening Recursive Constructions for Zero-Error Shannon Capacity
66	cross	2608.30285	Unfolding Overlaps of the Exceptional Regular Polytopes
67	cross	2608.30780	Kashiwara--Nakashima tableaux, Gelfand--Tsetlin patterns, and quantum symmetric pairs
68	cross	2608.30894	The Cayley Completion of a Graph
69	cross	2608.30920	Counting solutions to quadratic forms in eight prime variables of off-diagonal rank $3$
70	cross	2608.30945	Breaking the Exponential Barrier: The First Polynomial-Time Algorithm for the Győri-Lovász Theorem
71	cross	2608.30961	Asymptotic Bounds on Generalized Covering Radii of Binary Primitive BCH Codes
72	cross	2608.31061	Structural Corrections to the Bethe Approximation of the Permanent
73	cross	2608.31087	Properties of the $\mathcal V$-Monoid of Weighted Leavitt Path Algebras
74	cross	2608.31101	Bang vectors in the real polarization problem: The exact dimensional range
75	cross	2608.31130	Colorful Exponential Random Graph Models
